2025-12-08 08:37:17 INFO: Starting scalper for BTCUSD M1 — 2025-12-08T08:37:17.893432
2025-12-08 08:38:13 INFO: PRICE NOW: 91482.70 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.97
2025-12-08 08:38:14 INFO: PRICE NOW: 91482.70 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.97
2025-12-08 08:38:15 INFO: PRICE NOW: 91482.70 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.97
2025-12-08 08:38:16 INFO: PRICE NOW: 91482.70 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.97
2025-12-08 08:38:17 INFO: PRICE NOW: 91482.70 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.97
2025-12-08 08:38:18 INFO: PRICE NOW: 91488.12 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.08
2025-12-08 08:38:19 INFO: PRICE NOW: 91501.55 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.35
2025-12-08 08:38:20 INFO: PRICE NOW: 91501.55 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.35
2025-12-08 08:38:21 INFO: PRICE NOW: 91505.17 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.42
2025-12-08 08:38:22 INFO: PRICE NOW: 91505.17 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.42
2025-12-08 08:38:23 INFO: PRICE NOW: 91500.75 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.33
2025-12-08 08:38:24 INFO: PRICE NOW: 91503.99 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.40
2025-12-08 08:38:25 INFO: PRICE NOW: 91503.99 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.40
2025-12-08 08:38:26 INFO: PRICE NOW: 91503.84 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.39
2025-12-08 08:38:27 INFO: PRICE NOW: 91503.84 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.39
2025-12-08 08:38:28 INFO: PRICE NOW: 91513.70 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.59
2025-12-08 08:38:29 INFO: PRICE NOW: 91523.49 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.78
2025-12-08 08:38:30 INFO: PRICE NOW: 91540.67 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.12
2025-12-08 08:38:31 INFO: PRICE NOW: 91513.18 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.58
2025-12-08 08:38:32 INFO: PRICE NOW: 91515.40 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.62
2025-12-08 08:38:33 INFO: PRICE NOW: 91536.79 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.05
2025-12-08 08:38:35 INFO: PRICE NOW: 91535.61 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.02
