2025-12-13 06:44:05 INFO: Starting scalper for BTCUSDm M1 — 2025-12-13T06:44:05.215565
2025-12-13 06:45:27 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:28 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:29 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:30 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:31 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:32 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:33 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:34 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:35 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:36 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:37 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:38 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:39 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:40 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:41 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:42 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:43 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:44 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:45 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:46 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:47 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:48 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:49 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:50 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:51 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
